랭킹,제목,가수,좋아요,좋아요차이
1,신청곡 (Feat. SUGA of BTS),이소라,77278,71841
2,초록빛,폴킴,49527,44090
3,넘쳐흘러,엠씨더맥스,83949,78512
4,벌써 12시,청하,79541,74104
5,180도,벤,121053,115616
6,띵 (Prod. By 기리보이),"Jvcki Wai,영비 (Young B),Osshun Gum,한요한",54330,48893
7,신용재,하은 (라코스테남),83667,78230
8,Home,세븐틴,38186,32749
9,SOLO,제니 (JENNIE),160868,155431
10,너를 만나,폴킴,162529,157092
11,Love Shot,EXO,122504,117067
12,아낙네,MINO (송민호),142914,137477
13,MILLIONS,WINNER,103669,98232
14,너도 그냥 날 놓아주면 돼,윤건,45369,39932
15,해야 (Sunrise),여자친구 (GFRIEND),32490,27053
16,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,236473,231036
17,Tempo,EXO,168269,162832
18,IDOL,방탄소년단,216019,210582
19,YES or YES,TWICE (트와이스),116801,111364
20,Good to Me,세븐틴,24500,19063
21,포옹,세븐틴,23342,17905
22,숨이 차,세븐틴,22656,17219
23,내 생에 아름다운,케이윌,92326,86889
24,%%(응응),Apink (에이핑크),27135,21698
25,칠리,세븐틴,21672,16235
26,Shhh,세븐틴,21325,15888
27,어쩌나,세븐틴,74372,68935
28,아름답고도 아프구나,비투비,122234,116797
29,Heu ! (Full Ver.),수퍼비,14091,8654
30,흔한 이별,허각,38815,33378
31,가을 타나 봐,바이브,113383,107946
32,삐삐,아이유,205143,199706
33,첫눈에,헤이즈 (Heize),51529,46092
34,FAKE LOVE,방탄소년단,269875,264438
35,아주 NICE,세븐틴,90853,85416
36,이별하러 가는 길,임한별,72574,67137
37,Way Back Home,숀 (SHAUN),250696,245259
38,고백,양다일,99233,93796
39,A-TEEN,세븐틴,85307,79870
40,봄날,방탄소년단,379201,373764
41,봄바람,Wanna One (워너원),126102,120665
42,"thank u, next",Ariana Grande,84892,79455
43,열애중,벤,149427,143990
44,We all lie,하진,47699,42262
45,사계 (하루살이),엠씨더맥스,23044,17607
46,사랑 이딴 거,임한별,6516,1079
47,트라우마 (Trauma),EXO,67334,61897
48,I`m Fine,방탄소년단,158853,153416
49,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136676,131239
50,눈송이,"오반,빈첸 (VINXEN)",5437,0
51,DNA,방탄소년단,335801,330364
52,Wait,EXO,68202,62765
53,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,25893,20456
54,Gravity,EXO,96049,90612
55,Euphoria,방탄소년단,152508,147071
56,Answer : Love Myself,방탄소년단,132797,127360
57,지나오다,닐로 (Nilo),192865,187428
58,닿은 순간 (Ooh La La La),EXO,93401,87964
59,그때가 좋았어,케이시 (Kassy),21155,15718
60,No Question,"매드클라운,스텔라장 (Stella Jang)",14798,9361
61,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1,Kid Milli,루피(Loopy)",121368,115931
62,24/7,EXO,92090,86653
63,너 없인 안 된다,비투비,150951,145514
64,Sign,EXO,90179,84742
65,알았다면,장덕철,22372,16935
66,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,203260,197823
67,그리워하다,비투비,219518,214081
68,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,192604,187167
69,여기 있을게 (Smile On My Face),EXO,87211,81774
70,Damage,EXO,83744,78307
71,너는 어땠을까,노을,39248,33811
72,그 남자를 떠나,god,15624,10187
73,습관 (Bad Habits),숀 (SHAUN),19734,14297
74,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),80470,75033
75,Epiphany,방탄소년단,121059,115622
76,가끔 (With You),EXO,84929,79492
77,오아시스 (Oasis),EXO,86731,81294
78,후폭풍 (Bad Dream),EXO,83625,78188
79,이별을 걷다 (A Walk To Goodbye),황치열,7190,1753
80,비,폴킴,184708,179271
81,Anpanman,방탄소년단,149896,144459
82,밤편지,아이유,304938,299501
83,사이렌 (Siren),선미,110643,105206
84,헤어지는 중,펀치 (Punch),98946,93509
85,미안해,양다일,143175,137738
86,Bohemian Rhapsody (2011 Remaster),Queen,89808,84371
87,Dance The Night Away,TWICE (트와이스),139159,133722
88,우리 그만하자,로이킴,122353,116916
89,Universe,EXO,186029,180592
90,Trivia 轉 : Seesaw,방탄소년단,115661,110224
91,에너제틱 (Energetic),Wanna One (워너원),286817,281380
92,시간이 들겠지 (Feat. Colde),로꼬,97299,91862
93,가을 안부,먼데이 키즈 (Monday Kiz),126839,121402
94,사랑을 했다 (LOVE SCENARIO),iKON,279557,274120
95,IndiGO,"저스디스 (JUSTHIS),Kid Milli,NO:EL,영비 (Young B)",90569,85132
96,이별길 (GOODBYE ROAD),iKON,84883,79446
97,Beautiful,Wanna One (워너원),235252,229815
98,행복,오반,46141,40704
99,그때 헤어지면 돼,로이킴,192400,186963
100,이 마음,펀치 (Punch),8326,2889
계,,,11030453,10486753
