랭킹,제목,가수명,좋아요수,좋아요 차이
1,넘쳐흘러,엠씨더맥스,74218,65636
2,벌써 12시,청하,68157,59575
3,띵 (Prod. By 기리보이),Jvcki Wai,40709,32127
4,180도,벤,116756,108174
5,신용재,하은 (라코스테남),79050,70468
6,SOLO,제니 (JENNIE),158256,149674
7,MILLIONS,WINNER,98778,90196
8,아낙네,MINO (송민호),140148,131566
9,Love Shot,EXO,119779,111197
10,너를 만나,폴킴,158099,149517
11,YES or YES,TWICE (트와이스),114812,106230
12,Tempo,EXO,167365,158783
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233170,224588
14,내 생에 아름다운,케이윌,89357,80775
15,너도 그냥 날 놓아주면 돼,윤건,37341,28759
16,아름답고도 아프구나,비투비,120094,111512
17,해야 (Sunrise),여자친구 (GFRIEND),22382,13800
18,IDOL,방탄소년단,213130,204548
19,가을 타나 봐,바이브,112170,103588
20,첫눈에,헤이즈 (Heize),49392,40810
21,흔한 이별,허각,36498,27916
22,삐삐,아이유,203613,195031
23,%%(응응),Apink (에이핑크),22949,14367
24,고백,양다일,97530,88948
25,이별하러 가는 길,임한별,70174,61592
26,"thank u, next",Ariana Grande,81247,72665
27,Way Back Home,숀 (SHAUN),249303,240721
28,봄바람,Wanna One (워너원),125001,116419
29,열애중,벤,148116,139534
30,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135920,127338
31,사계 (하루살이),엠씨더맥스,20058,11476
32,FAKE LOVE,방탄소년단,268656,260074
33,트라우마 (Trauma),EXO,66563,57981
34,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),pH-1,120102,111520
35,너 없인 안 된다,비투비,150060,141478
36,Wait,EXO,67390,58808
37,봄날,방탄소년단,377342,368760
38,Gravity,EXO,95730,87148
39,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),78898,70316
40,그리워하다,비투비,218773,210191
41,닿은 순간 (Ooh La La La),EXO,93119,84537
42,지나오다,닐로 (Nilo),191981,183399
43,24/7,EXO,91748,83166
44,알았다면,장덕철,20416,11834
45,I`m Fine,방탄소년단,157062,148480
46,습관 (Bad Habits),숀 (SHAUN),17105,8523
47,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202766,194184
48,DNA,방탄소년단,334731,326149
49,Sign,EXO,89993,81411
50,여기 있을게 (Smile On My Face),EXO,87003,78421
51,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,20403,11821
52,너는 어땠을까,노을,37085,28503
53,사이렌 (Siren),선미,109969,101387
54,flex (Prod. By 기리보이),기리보이,106563,97981
55,We all lie,하진,34925,26343
56,Damage,EXO,83558,74976
57,가끔 (With You),EXO,84755,76173
58,후폭풍 (Bad Dream),EXO,83486,74904
59,행복,오반 (OVAN),42703,34121
60,미안해,양다일,141992,133410
61,Universe,EXO,185701,177119
62,Dance The Night Away,TWICE (트와이스),138545,129963
63,시간이 들겠지 (Feat. Colde),로꼬,96397,87815
64,오아시스 (Oasis),EXO,86546,77964
65,밤편지,아이유,303743,295161
66,이별길 (GOODBYE ROAD),iKON,84230,75648
67,우리 그만하자,로이킴,121541,112959
68,가을 안부,먼데이 키즈 (Monday Kiz),126028,117446
69,헤어지는 중,펀치 (Punch),97970,89388
70,Euphoria,방탄소년단,150700,142118
71,비,폴킴,182989,174407
72,Answer : Love Myself,방탄소년단,130510,121928
73,Bohemian Rhapsody (2011 Remaster),Queen,88170,79588
74,에너제틱 (Energetic),Wanna One (워너원),286592,278010
75,Wind flower,마마무(Mamamoo),48768,40186
76,그때 헤어지면 돼,로이킴,191441,182859
77,동화 (feat. 아이유),김동률,54920,46338
78,BOOMERANG (부메랑),Wanna One (워너원),144033,135451
79,Beautiful,Wanna One (워너원),235106,226524
80,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191432,182850
81,켜줘 (Light),Wanna One (워너원),133339,124757
82,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74234,65652
83,사랑을 했다 (LOVE SCENARIO),iKON,278907,270325
84,IndiGO,저스디스 (JUSTHIS),89363,80781
85,Anpanman,방탄소년단,148942,140360
86,꿈처럼 내린,다비치,37688,29106
87,Epiphany,방탄소년단,119476,110894
88,불꽃놀이 (Flowerbomb),Wanna One (워너원),72300,63718
89,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8582,0
90,술래,Wanna One (워너원),69451,60869
91,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81316,72734
92,그때가 좋았어,케이시 (Kassy),14292,5710
93,Trivia 轉 : Seesaw,방탄소년단,113943,105361
94,집,Wanna One (워너원),71778,63196
95,그 남자를 떠나,god,13552,4970
96,YA,이민혁 (HUTA),14437,5855
97,묻고싶다 (One Love),Wanna One (워너원),66889,58307
98,I`M OK,iKON,23459,14877
99,RBB (Really Bad Boy),Red Velvet (레드벨벳),55118,46536
100,사랑은 다 이러니,홍진영,11291,2709
계,,,11322168,10463968
